Accepted Symbol,Synonym Symbol,Scientific Name,Common Name,Growth Habit
ACNEN2,STCON2,Stipa columbiana Macoun var. nelsonii (Scribn.) H. St. John,,Graminoid
ACNEN2,STOCN,Stipa occidentalis Thurb. var. nelsonii (Scribn.) C.L. Hitchc.,,Graminoid
ACNE10,,Achnatherum nevadense (B.L. Johnson) Barkworth,Nevada needlegrass,Graminoid
ACNE10,STNE4,Stipa nevadensis B.L. Johnson,,Graminoid
ACOC3,,Achnatherum occidentale (Thurb.) Barkworth,western needlegrass,Graminoid
ACOCC,ACNEL2,Achnatherum nelsonii (Scribn.) Barkworth ssp. longiaristatum (Barkworth & Maze) Barkworth,,Graminoid
ACOCC,,Achnatherum occidentale (Thurb.) Barkworth ssp. californicum (Merr. & Burtt Davy) Barkworth,California needlegrass,Graminoid
ACOCC,STNEL3,Stipa nelsonii Scribn. var. longiaristata Barkworth & Maze,,Graminoid
ACOCC,STCA2,Stipa californica Merr. & Burtt Davy,,Graminoid
ACOCC,STOCC,Stipa occidentalis Thurb. var. californica (Merr. & Burtt Davy) C.L. Hitchc.,,Graminoid
ACOCO,,Achnatherum occidentale (Thurb.) Barkworth ssp. occidentale,western needlegrass,Graminoid
ACOCO,STOC2,Stipa occidentalis Thurb.,,Graminoid
ACOCP,STEL2,Stipa elmeri Piper & Brodie ex Scribn.,,Graminoid
ACOCP,STOCP,"Stipa occidentalis Thurb. var. pubescens (Vasey) Maze, Roy L. Taylor & MacBryde",,Graminoid
ACOCP,,Achnatherum occidentale (Thurb.) Barkworth ssp. pubescens (Vasey) Barkworth,pubescent western needlegrass,Graminoid
ACPA13,,Achnatherum parishii (Vasey) Barkworth,Parish's needlegrass,Graminoid
ACPAD,,Achnatherum parishii (Vasey) Barkworth var. depauperatum (M.E. Jones) Barkworth,little Parish's needlegrass,Graminoid
ACPAD,STCOD,Stipa coronata Thurb. var. depauperata (M.E. Jones) Hitchc.,,Graminoid
ACPAP,STCOP2,Stipa coronata Thurb. var. parishii (Vasey) Hitchc.,,Graminoid
ACPAP,,Achnatherum parishii (Vasey) Barkworth var. parishii,Parish's needlegrass,Graminoid
ACPAP,STPA17,Stipa parishii Vasey,,Graminoid
