Accepted Symbol,Synonym Symbol,Scientific Name,Common Name,Growth Habit
COAR16,,Cortaderia araucana Stapf,pampas grass,Graminoid
COJU2,,Cortaderia jubata (Lem.) Stapf,purple pampas grass,Graminoid
COJU2,COAT2,Cortaderia atacamensis (Phil.) Pilg.,,Graminoid
CORU18,,Cortaderia rudiuscula Stapf [excluded],,Graminoid
COSE4,,Cortaderia selloana (Schult. & Schult. f.) Asch. & Graebn.,Uruguayan pampas grass,Graminoid
COSE4,CODI11,Cortaderia dioica (Spreng.) Speg.,,Graminoid
COTO6,,Cortaderia toetoe Zotov,toetoe,Graminoid
COCA16,,Corynephorus canescens (L.) P. Beauv.,gray clubawn grass,Graminoid
COCA16,AICA4,Aira canescens L.,,Graminoid
COFA6,,Corynephorus fasciculatus Boiss. & Reut.,,Graminoid
COPA13,,Cottea pappophoroides Kunth,cotta grass,Graminoid
CRAL2,,Crypsis alopecuroides (Piller & Mitterp.) Schrad.,foxtail pricklegrass,Graminoid
CRAL2,SPAL7,Sporobolus alopecuroides (Piller & Mitterp.) P.M. Peterson,,Graminoid
CRAL2,HEAL10,Heleochloa alopecuroides (Piller & Mitterp.) Host ex Roem.,,Graminoid
CRSC,,Crypsis schoenoides (L.) Lam.,swamp pricklegrass,Graminoid
CRSC,HESC8,Heleochloa schoenoides (L.) Host ex Roem.,,Graminoid
CRSC,SPSC2,Sporobolus schoenoides (L.) P.M. Peterson,,Graminoid
CRVA2,CRAC4,Crypsis aculeata auct. non (L.) Aiton,,Graminoid
CRVA2,,Crypsis vaginiflora (Forssk.) Opiz,modest prickle grass,Graminoid
CRVA2,SPNI5,Sporobolus niliaca (Fig. & De Not.) P.M. Peterson,,Graminoid
CRVA2,CRNI3,Crypsis niliaca Fig. & de Not.,,Graminoid
CTAR,,Ctenium aromaticum (Walter) Alph. Wood,toothache grass,Graminoid
CTAR,CAAR31,Campulosus aromaticus (Walter) Scribn.,,Graminoid
CTFL,,Ctenium floridanum (Hitchc.) Hitchc.,Florida orangegrass,Graminoid
CTFL,CAFL24,Campulosus floridanus Hitchc.,,Graminoid
CUDI3,,Cutandia divaricata (Desf.) Asch. ex Barbey,,Graminoid
CUMA6,,Cutandia maritima (L.) Barbey,,Graminoid
CUME2,,Cutandia memphitica (Spreng.) K. Richt.,Memphisgrass,Graminoid
CYCI,ANCI4,Andropogon citratus DC. ex Nees,,Graminoid
CYCI,,Cymbopogon citratus (DC. ex Nees) Stapf,lemon grass,Graminoid
CYDI13,,Cymbopogon distans (Nees) J.F. Watson,,Graminoid
CYFL2,,Cymbopogon flexuosus (Nees ex Steud.) J.F. Watson,East Indian lemongrass,Graminoid
CYFL2,ANFL7,Andropogon flexuosus Nees ex Steud.,,Graminoid
CYJW,,Cymbopogon jwarancusa (Jones) Schult.,Iwarancusa grass,Graminoid
CYMA15,,Cymbopogon martinii (Roxb.) J.F. Watson,rosha grass,Graminoid
CYMA15,ANMA17,Andropogon martinii Roxb.,,Graminoid
CYNA,,Cymbopogon nardus (L.) Rendle,citronella grass,Graminoid
CYNA,ANNA4,Andropogon nardus L.,,Graminoid
CYRE,,Cymbopogon refractus (R. Br.) A. Camus,barbwire grass,Graminoid
CYSC8,,Cymbopogon schoenanthus (L.) Spreng. [excluded],camel grass,Graminoid
CYTO3,,Cymbopogon tortilis (J. Presl) A. Camus,,Graminoid
CYWI6,,Cymbopogon winterianus Jowitt,cymbopogon grass,Graminoid
CYFR4,CAFR10,Carex fraseri Andrews,,Graminoid
CYFR4,,Cymophyllus fraserianus (Ker Gawl.) Kartesz & Gandhi,Fraser's cymophyllus,Graminoid
CYFR4,CYFR,Cymophyllus fraseri (Andrews) Mack. ex Britton,,Graminoid
CYFR4,CAFR12,Carex fraseriana Ker Gawl.,,Graminoid
CYAE2,,Cynodon aethiopicus W.D. Clayton & Harlan,Ethiopian dogstooth grass,Graminoid
CYAR15,,Cynodon arcuatus J. Presl [excluded],,Graminoid
CYBA9,,Cynodon barberi Rang. & Tad. [excluded],,Graminoid
CYBR14,,Cynodon bradleyi Stent,cynodon,Graminoid
CYDA,CYIN14,Cynodon incompletus auct. non Nees,,Graminoid
CYDA,CADA5,Capriola dactylon (L.) Kuntze,,Graminoid
CYDA,CYAR16,Cynodon aristiglumis Caro & Sánchez,,Graminoid
CYDA,,Cynodon dactylon (L.) Pers.,Bermudagrass,Graminoid
CYDA,PADA,Panicum dactylon L.,,Graminoid
CYDAA2,,Cynodon dactylon (L.) Pers. var. aridus Harlan & de Wet [excluded],,Graminoid
CYDAD,,Cynodon dactylon (L.) Pers. var. dactylon,Bermudagrass,Graminoid
CYMA2,,Cynodon magennisii Hurcombe (pro hybr.),Magennis' dogstooth grass,Graminoid
CYMA27,,Cynodon maritimus Kunth,maritime Bermudagrass,Graminoid
CYMA27,CYDAM,Cynodon dactylon (L.) Pers. var. maritimus (Kunth) Hack.,,Graminoid
CYNL80,,Cynodon nlemfuensis Vanderyst,African Bermudagrass,Graminoid
CYNLN,,Cynodon nlemfuensis Vanderyst var. nlemfuensis,African Bermudagrass,Graminoid
CYNLR,,Cynodon nlemfuensis Vanderyst var. robustus W.D. Clayton & Harlan,African Bermudagrass,Graminoid
CYPL2,,Cynodon plectostachyus (K. Schum.) Pilg.,stargrass,Graminoid
CYTR,,Cynodon transvaalensis Burtt Davy,African dogstooth grass,Graminoid
CYCR,,Cynosurus cristatus L.,crested dogstail grass,Graminoid
CYEC,,Cynosurus echinatus L.,bristly dogstail grass,Graminoid
CYAC2,,Cyperus acuminatus Torr. & Hook. ex Torr.,tapertip flatsedge,Graminoid
CYAG,,Cyperus aggregatus (Willd.) Endl.,inflatedscale flatsedge,Graminoid
CYAG,CYCA17,"Cyperus cayennensis (Lam.) Britton, non Willd. ex Link",,Graminoid
CYAG,MAFL6,Mariscus flavus Vahl,,Graminoid
CYAG,CYFL9,"Cyperus flavus (Vahl) Nees, non J. Presl & C. Presl",,Graminoid
CYAG,CYHU5,Cyperus huarmensis (Kunth) M.C. Johnst.,,Graminoid
CYAG,CYOB5,Cyperus obesus Liebm.,,Graminoid
CYAG,MACA14,Mariscus cayennensis (Lam.) Urb.,,Graminoid
CYAL6,,Cyperus alopecuroides Rottb.,foxtail flatsedge,Graminoid
CYAM,CYAMM,Cyperus amabilis Vahl var. macrostachyus (Boeckeler) Kük.,,Graminoid
CYAM,,Cyperus amabilis Vahl,foothill flatsedge,Graminoid
CYAM2,CYMI4,Cyperus microiria Steud.,,Graminoid
CYAM2,,Cyperus amuricus Maxim.,Asian flatsedge,Graminoid
CYAR4,,Cyperus articulatus L.,jointed flatsedge,Graminoid
CYAU2,CYFEA,Cyperus ferax Rich. var. auriculatus (Nees & Meyen ex Kunth) Kük.,,Graminoid
CYAU2,,Cyperus auriculatus Nees & Meyen ex Kunth,eared flatsedge,Graminoid
CYAU2,TOODA,Torulinium odoratum (L.) S. Hooper ssp. auriculatum (Nees & Meyen ex Kunth) T. Koyama,,Graminoid
CYBI6,PYRI2,Pycreus rivularis (Kunth) Palla,,Graminoid
CYBI6,CYNIR,Cyperus niger Ruiz & Pav. var. rivularis (Kunth) V.E. Grant,,Graminoid
CYBI6,,Cyperus bipartitus Torr.,slender flatsedge,Graminoid
CYBI6,CYRI,Cyperus rivularis Kunth,,Graminoid
CYCA18,,Cyperus calcicola Britton,Caribbean flatsedge,Graminoid
CYCE,,Cyperus cephalanthus Torr. & Hook.,buttonbush flatsedge,Graminoid
CYCO24,,Cyperus compactus Retz.,,Graminoid
CYCO,,Cyperus compressus L.,poorland flatsedge,Graminoid
CYCO2,,Cyperus confertus Sw.,West Indian flatsedge,Graminoid
CYCO2,MACO19,Mariscus confertus (Sw.) C.B. Clarke,,Graminoid
CYCO3,MACO18,Mariscus congestus (Vahl) C.B. Clarke,,Graminoid
CYCO3,,Cyperus congestus Vahl,clustered flatsedge,Graminoid
CYCR6,CYGL3,Cyperus globulosus auct. non Aubl.,,Graminoid
CYCR6,,Cyperus croceus Vahl,Baldwin's flatsedge,Graminoid
CYCR6,CYMU9,Cyperus multiflorus (Britton) Small,,Graminoid
CYCR6,MAGL8,Mariscus globulosus auct. non (Aubl.) Urb.,,Graminoid
CYCU,,Cyperus cuspidatus Kunth,coastal plain flatsedge,Graminoid
CYCY,,Cyperus cyperinus (Retz.) Sur.,Old World flatsedge,Graminoid
CYCY,MACY4,Mariscus cyperinus (Retz.) Vahl,,Graminoid
CYCY2,,Cyperus cyperoides (L.) Kuntze,Pacific island flatsedge,Graminoid
CYDE9,,Cyperus ×deamii O'Neill (pro sp.) [esculentus × strigosus],flatsedge,Graminoid
CYDE2,,Cyperus dentatus Torr.,toothed flatsedge,Graminoid
CYDE10,MAPU13,"Mariscus pubescens J. Presl & C. Presl, non Cyperus pubescens Steud.",,Graminoid
CYDE10,,Cyperus dentoniae G. Tucker,hairy flatsedge,Graminoid
CYDI3,,Cyperus diandrus Torr.,umbrella flatsedge,Graminoid
CYDI4,,Cyperus difformis L.,variable flatsedge,Graminoid
CYDI12,,Cyperus diffusus Vahl,diffused flatsedge,Graminoid
CYDI5,,Cyperus digitatus Roxb.,finger flatsedge,Graminoid
CYDI14,,Cyperus dioicus I.M. Johnst.,flatsedge,Graminoid
CYDI15,,Cyperus dipsaceus Liebm.,Wright's flatsedge,Graminoid
CYDI15,CYWR,Cyperus wrightii Britton,,Graminoid
CYDI7,,Cyperus distans L. f.,Piedmont flatsedge,Graminoid
CYDI8,,Cyperus distinctus Steud.,swamp flatsedge,Graminoid
CYDR4,,Cyperus drummondii Torr. & Hook.,Drummond's sedge,Graminoid
CYEC2,,Cyperus echinatus (L.) Alph. Wood,globe flatsedge,Graminoid
CYEC2,CYOV,Cyperus ovularis (Michx.) Torr.,,Graminoid
CYEC2,CYOVS,Cyperus ovularis (Michx.) Torr. var. sphaericus Boeckeler,,Graminoid
CYEL,,Cyperus elegans L.,royal flatsedge,Graminoid
CYEN2,SCLU,Scirpus luzulae auct. non L.,,Graminoid
CYEN2,,Cyperus entrerianus Boeckeler,woodrush flatsedge,Graminoid
CYEN2,CYLU,Cyperus luzulae auct. non (L.) Rottb. ex Retz.,,Graminoid
CYER,CYVE,Cyperus vegetus Willd.,,Graminoid
CYER,,Cyperus eragrostis Lam.,tall flatsedge,Graminoid
CYER2,,Cyperus erythrorhizos Muhl.,redroot flatsedge,Graminoid
CYER2,CYHA8,Cyperus halei Torr. ex Britton,,Graminoid
CYES,,Cyperus esculentus L.,yellow nutsedge,Graminoid
CYESE2,,Cyperus esculentus L. var. esculentus L. [excluded],yellow nutsedge,Graminoid
CYESH,,Cyperus esculentus L. var. hermannii (Buckley) Britton,yellow nutsedge,Graminoid
CYESL,CYESA,Cyperus esculentus L. var. angustispicatus Britton,,Graminoid
CYESL,,Cyperus esculentus L. var. leptostachyus Boeckeler,yellow nutsedge,Graminoid
CYESM,,Cyperus esculentus L. var. macrostachyus Boeckeler,yellow nutsedge,Graminoid
CYESM,CYLU3,Cyperus lutescens Torr. & Hook.,,Graminoid
CYESS,,Cyperus esculentus L. var. sativus Boeckeler,yellow nutsedge,Graminoid
CYFA3,,Cyperus fauriei Kük.,alpine flatsedge,Graminoid
CYFA3,MAFA7,Mariscus fauriei (Kük.) T. Koyama,,Graminoid
CYFE2,,Cyperus fendlerianus Boeckeler,Fendler's flatsedge,Graminoid
CYFE2,MAFE2,Mariscus fendlerianus (Boeckeler) T. Koyama,,Graminoid
CYFI,CYNU4,Cyperus nuttallii Eddy,,Graminoid
CYFI,,Cyperus filicinus Vahl,fern flatsedge,Graminoid
CYFI,CYPOM2,Cyperus polystachyos Rottb. var. macrostachyus Boeckeler,,Graminoid
CYFI,CYPOF,Cyperus polystachyos Rottb. var. filicinus (Vahl) C.B. Clarke,,Graminoid
CYFI4,CYUN4,Cyperus unifolius Boeckeler,,Graminoid
CYFI4,,Cyperus filiformis Sw.,wiry flatsedge,Graminoid
CYFI4,TOFI2,Torulinium filiforme (Sw.) C.B. Clarke,,Graminoid
CYFL,,Cyperus flavescens L.,yellow flatsedge,Graminoid
CYFL,CYFLP,Cyperus flavescens L. var. poiformis (Pursh) Fernald,,Graminoid
CYFL,CYNI5,Cyperus nieuwlandii Geise,,Graminoid
CYFL,PYFL3,Pycreus flavescens (L.) Rchb.,,Graminoid
CYFL5,CYSA4,Cyperus sabulosus (Mart. & Schrad. ex Nees) Steud.,,Graminoid
CYFL5,,Cyperus flavicomus Michx.,whiteedge flatsedge,Graminoid
CYFL5,CYAL,Cyperus albomarginatus (Mart. & Schrad. ex Nees) Steud.,,Graminoid
CYFL5,PYFL6,Pycreus flavicomus (Michx.) C.D. Adams,,Graminoid
CYFL11,PYFL7,Pycreus flavidus (Retz.) T. Koyama,,Graminoid
CYFL11,,Cyperus flavidus Retz.,yellow flatsedge,Graminoid
CYFL3,CYVA2,Cyperus vahlii (Schrad. ex Nees) Steud.,,Graminoid
CYFL3,,Cyperus flexuosus Vahl,Vahl's flatsedge,Graminoid
CYFL10,,Cyperus floribundus (Kük.) Carter & Jones,Rio Grande sedge,Graminoid
CYFL6,,Cyperus floridanus Britton,Florida flatsedge,Graminoid
CYFL6,CYFID,Cyperus filiformis Sw. var. densiceps Kük.,,Graminoid
CYFU9,,Cyperus fugax Liebm.,withering flatsedge,Graminoid
CYFU2,,Cyperus fuligineus Chapm.,limestone flatsedge,Graminoid
CYFU2,MAFU3,Mariscus fuligineus (Chapm.) C.B. Clarke,,Graminoid
CYFU3,,Cyperus fuscus L.,brown flatsedge,Graminoid
CYGI2,,Cyperus giganteus Vahl,giant flatsedge,Graminoid
CYGR9,,Cyperus gracilis R. Br.,slimjim flatsedge,Graminoid
CYGR10,,Cyperus granitophilus McVaugh,granite flatsedge,Graminoid
CYGR2,CYFIO,Cyperus filiculmis Vahl var. oblitus Fernald & Grisc.,,Graminoid
CYGR2,,Cyperus grayi Torr.,Gray's flatsedge,Graminoid
CYGR11,,Cyperus grayoides Mohlenbr.,Illinois flatsedge,Graminoid
CYHA,,Cyperus haspan L.,haspan flatsedge,Graminoid
CYHA,CYHAA,Cyperus haspan L. var. americanus Boeckeler,,Graminoid
CYHA,CYHA15,"Cyperus halpan L., orth. var.",,Graminoid
CYHE2,,Cyperus hermaphroditus (Jacq.) Standl.,hermaphrodite flatsedge,Graminoid
CYHE2,CYIN8,Cyperus incompletus (Jacq.) Link,,Graminoid
CYHI,,Cyperus hillebrandii Boeckeler,Hillebrand's flatsedge,Graminoid
CYHID,,Cyperus hillebrandii Boeckeler var. decipiens (Hillebr.) Kük.,Hillebrand's flatsedge,Graminoid
CYHID,MAHID,Mariscus hillebrandii (Boeckeler) T. Koyama ssp. decipiens (Hillebr.) T. Koyama,,Graminoid
CYHID,CYDE12,Cyperus decipiens Hillebr.,,Graminoid
CYHIH2,CYHIM,Cyperus hillebrandii Boeckeler var. mauiensis (Hillebr.) Kük.,,Graminoid
CYHIH2,CYHIH,Cyperus hillebrandii Boeckeler var. helleri Kük.,,Graminoid
CYHIH2,,Cyperus hillebrandii Boeckeler var. hillebrandii,Hillebrand's flatsedge,Graminoid
CYHIH2,MAHI3,Mariscus hillebrandii (Boeckeler) T. Koyama,,Graminoid
CYHO,,Cyperus houghtonii Torr.,Houghton's flatsedge,Graminoid
CYHY7,KYHY,Kyllinga hyalina (Vahl) T. Koyama,,Graminoid
CYHY7,,Cyperus hyalinus Vahl,Queensland sedge,Graminoid
CYHY2,,Cyperus hypochlorus Hillebr.,Oahu flatsedge,Graminoid
CYHYK,,"Cyperus hypochlorus Hillebr. nom. inq. var. kauaiensis Kük., nom. inq.",Oahu flatsedge,Graminoid
CYHYB,,Cyperus hypochlorus Hillebr. var. brevior Kük.,Oahu flatsedge,Graminoid
CYHYB,MAHYB,Mariscus hypochlorus (Hillebr.) C.B. Clarke ssp. brevior (Kük.) T. Koyama,,Graminoid
CYHYH,MAHY2,Mariscus hypochlorus (Hillebr.) C.B. Clarke,,Graminoid
CYHYH,,Cyperus hypochlorus Hillebr. var. hypochlorus,Oahu flatsedge,Graminoid
CYHYH,CYHYD,Cyperus hypochlorus Hillebr. var. densispicatus Skottsb.,,Graminoid
CYHY6,,Cyperus hypopitys G. Tucker,pine flatsedge,Graminoid
CYHY,CYREH,Cyperus retrofractus (L.) Torr. var. hystricinus (Fernald) Kük.,,Graminoid
CYHY,,Cyperus hystricinus Fernald,bristly flatsedge,Graminoid
CYIM,,Cyperus imbricatus Retz.,shingle flatsedge,Graminoid
CYIM,CYRA7,Cyperus radiatus Vahl,,Graminoid
CYIN6,CYFL8,Cyperus flabelliformis Rottb.,,Graminoid
CYIN6,,Cyperus involucratus Rottb.,umbrella plant,Graminoid
CYIN6,CYALF,Cyperus alternifolius L. ssp. flabelliformis (Rottb.) Kük.,,Graminoid
CYIN6,CYAL2,Cyperus alternifolius auct. non L.,,Graminoid
CYIR,,Cyperus iria L.,ricefield flatsedge,Graminoid
CYJA,,Cyperus javanicus Houtt.,Javanese flatsedge,Graminoid
CYJA,MAJA5,Mariscus javanicus (Houtt.) Merr. & Metcalfe,,Graminoid
CYLA2,,Cyperus laevigatus L.,smooth flatsedge,Graminoid
CYLA2,CYCA15,Cyperus careyi Britton,,Graminoid
CYLA3,,Cyperus lancastriensis Porter ex A. Gray,manyflower flatsedge,Graminoid
CYLA5,CYLAC,Cyperus lanceolatus Poir. var. compositus J. Presl & C. Presl,,Graminoid
CYLA5,CYDE13,Cyperus densus Link,,Graminoid
CYLA5,,Cyperus lanceolatus Poir.,epiphytic flatsedge,Graminoid
CYLE2,,Cyperus lecontei Torr. ex Steud.,Le Conte's flatsedge,Graminoid
CYLE,CYTEL,Cyperus tenuis Sw. var. lentiginosus (Millsp. & Chase) Kük.,,Graminoid
CYLE,,Cyperus lentiginosus Millsp. & Chase,Latin American flatsedge,Graminoid
CYLI,,Cyperus ligularis L.,Alabama swamp flatsedge,Graminoid
CYLI,MALI5,Mariscus ligularis (L.) Urb.,,Graminoid
CYLU2,,Cyperus lupulinus (Spreng.) Marcks,Great Plains flatsedge,Graminoid
CYLUL,CYMA16,Cyperus martindalei auct. non Britton,,Graminoid
CYLUL,,Cyperus lupulinus (Spreng.) Marcks ssp. lupulinus,Great Plains flatsedge,Graminoid
CYLUL,MAFI2,Mariscus filiculmis auct. non (Vahl) T. Koyama,,Graminoid
CYLUL,CYFI2,Cyperus filiculmis auct. non Vahl,,Graminoid
CYLUM,CYBU4,Cyperus bushii Britton,,Graminoid
CYLUM,,Cyperus lupulinus (Spreng.) Marcks ssp. macilentus (Fernald) Marcks,Great Plains flatsedge,Graminoid
CYLUM,CYFIM,Cyperus filiculmis Vahl var. macilentus Fernald,,Graminoid
CYMA4,,Cyperus manimae Kunth,spectacular flatsedge,Graminoid
CYMAA,,Cyperus manimae Kunth var. asperrimus (Liebm.) Kük.,spectacular flatsedge,Graminoid
CYMAD,,Cyperus manimae Kunth var. divergens (Kunth) Kük. [excluded],,Graminoid
CYME4,,Cyperus meyenianus Kunth,Meyen's flatsedge,Graminoid
CYME4,MAME7,Mariscus meyenianus (Kunth) Nees,,Graminoid
CYMU4,CYMUA,Cyperus mutisii (Kunth) Griseb. var. asper (Liebm.) Kük.,,Graminoid
CYMU4,CYPR,Cyperus pringlei Britton,,Graminoid
CYMU4,,Cyperus mutisii (Kunth) Griseb.,Mutis' flatsedge,Graminoid
CYMU4,MAMU4,Mariscus mutisii Kunth,,Graminoid
CYMU4,CYAS4,Cyperus asper (Liebm.) O'Neill,,Graminoid
CYNA2,,Cyperus nanus Willd.,Indian flatsedge,Graminoid
CYNAN2,,Cyperus nanus Willd. var. nanus,Indian flatsedge,Graminoid
CYNAN2,CYGR13,Cyperus granularis (Desf.) Britton,,Graminoid
CYNAS,,Cyperus nanus Willd. var. subtenuis Kük.,Indian flatsedge,Graminoid
CYNAS,CYSU11,Cyperus subtenuis (Kük.) M.T. Strong,,Graminoid
CYNAS,MACA13,Mariscus capillaris (Sw.) Vahl,,Graminoid
CYNE2,MAKU,Mariscus kunthianus Gaudich.,,Graminoid
CYNE2,,Cyperus neokunthianus Kük.,Maui flatsedge,Graminoid
CYNE2,CYKU2,Cyperus kunthianus (Gaudich.) Hillebr.,,Graminoid
CYNI2,CYNIC,Cyperus niger Ruiz & Pav. var. capitatus (Britton) O'Neill,,Graminoid
CYNI2,,Cyperus niger Ruiz & Pav.,black flatsedge,Graminoid
CYNI2,PYNI,Pycreus niger (Ruiz & Pav.) Cufod.,,Graminoid
CYNI2,CYDIC,Cyperus diandrus Torr. var. capitatus Britton,,Graminoid
CYNI2,CYME11,Cyperus melanostachyus Kunth,,Graminoid
CYNI2,CYNIC2,Cyperus niger Ruiz & Pav. var. castaneus (Pursh) Kük.,,Graminoid
CYOC2,,Cyperus ochraceus Vahl,pond flatsedge,Graminoid
CYOD,,Cyperus odoratus L.,fragrant flatsedge,Graminoid
CYOD,CYFE3,Cyperus ferax Rich.,,Graminoid
CYOD,CYAC6,Cyperus acicularis Schrad. ex Nees,,Graminoid
CYOD,CYFE4,Cyperus ferruginescens Boeckeler,,Graminoid
CYOD,CYEN,Cyperus engelmannii Steud.,,Graminoid
CYOD,CYODE,Cyperus odoratus L. var. engelmannii (Steud.) R. Carter & S.D. Jones,,Graminoid
CYOD,CYEG,Cyperus eggersii Boeckeler,,Graminoid
CYOD,CYMA20,Cyperus macrocephalus Liebm.,,Graminoid
CYOD,TOCO3,Torulinium confertum Desv. ex Ham.,,Graminoid
CYOD,CYSP6,Cyperus speciosus Vahl,,Graminoid
CYOD,CYLO9,Cyperus longispicatus J.B.S. Norton,,Graminoid
CYOD,TOEG,Torulinium eggersii (Boeckeler) C.B. Clarke,,Graminoid
CYOD,CYMAE2,"Cyperus macrocephalus Liebm. var. eggersii (Boeckeler) S.D. Jones, Wipff & R. Carter",,Graminoid
CYOD,TOOD,Torulinium odoratum (L.) S. Hooper,,Graminoid
CYOD,CYODA,Cyperus odoratus L. var. acicularis (Schrad. ex Nees) O'Neill,,Graminoid
CYOD,CYODS,"Cyperus odoratus L. var. squarrosus (Britton) S.D. Jones, Wipff & R. Carter",,Graminoid
CYOD,CYSPS2,Cyperus speciosus Vahl var. squarrosus Britton,,Graminoid
CYOD,MAHU,Mariscus huarmensis Kunth,,Graminoid
CYON,,Cyperus onerosus M.C. Johnst.,plains flatsedge,Graminoid
CYOV3,CYPO7,Cyperus pollardii Britton,,Graminoid
CYOV3,,Cyperus ovatus Baldw.,ovateleaf flatsedge,Graminoid
CYOW2,,Cyperus owanii Boeckeler,Owan's flatsedge,Graminoid
CYOX,,Cyperus oxylepis Nees ex Steud.,sharpscale flatsedge,Graminoid
CYPA24,,Cyperus pallidicolor (Kük.) G. Tucker,pallid flatsedge,Graminoid
CYPA8,,Cyperus papyrus L.,papyrus,Graminoid
CYPA4,,Cyperus parishii Britton,Parish's flatsedge,Graminoid
CYPE3,,Cyperus pennatiformis Kük.,coastal flatsedge,Graminoid
CYPEB,,Cyperus pennatiformis Kük. var. bryanii,Bryan's flatsedge,Graminoid
CYPEB,MAPEB,Mariscus pennatiformis (Kük.) T. Koyama ssp. bryanii,,Graminoid
CYPEP,MAPE5,Mariscus pennatiformis (Kük.) T. Koyama,,Graminoid
CYPEP,,Cyperus pennatiformis Kük. var. pennatiformis,coastal flatsedge,Graminoid
CYPH,,Cyperus phaeolepis Cherm.,Madagascar flatsedge,Graminoid
CYPH2,,Cyperus phleoides (Nees ex Kunth) Hillebr.,Molokai flatsedge,Graminoid
CYPHH,MAPHH,Mariscus phleoides Nees ex Kunth ssp. hawaiensis (H. Mann) T. Koyama,,Graminoid
CYPHH,,Cyperus phleoides (Nees ex Kunth) Hillebr. var. hawaiensis (H. Mann) Kük.,Molokai flatsedge,Graminoid
CYPHP,,Cyperus phleoides (Nees ex Kunth) Hillebr. var. phleoides,Molokai flatsedge,Graminoid
CYPHP,MAPH5,Mariscus phleoides Nees ex Kunth,,Graminoid
CYPI,,Cyperus pilosus Vahl,fuzzy flatsedge,Graminoid
CYPL4,,Cyperus planifolius Rich.,flatleaf flatsedge,Graminoid
CYPL4,CYBR11,Cyperus brunneus Sw.,,Graminoid
CYPL4,MAPL4,Mariscus planifolius (Rich.) Urb.,,Graminoid
CYPL3,,Cyperus plukenetii Fernald,Plukenet's flatsedge,Graminoid
CYPO,,Cyperus polystachyos Rottb.,manyspike flatsedge,Graminoid
CYPOM,,Cyperus polystachyos Rottb. var. miser Kük.,manyspike flatsedge,Graminoid
CYPOP2,,Cyperus polystachyos Rottb. var. polystachyos,manyspike flatsedge,Graminoid
CYPOP2,CYPA20,Cyperus paniculatus Rottb.,,Graminoid
CYPOP2,CYPOL3,Cyperus polystachyos Rottb. var. leptostachyus Boeckeler,,Graminoid
CYPOP2,CYPOP,Cyperus polystachyos Rottb. var. pallidus Hillebr.,,Graminoid
CYPOP2,MAPO8,Mariscus polystachyos auct. non A. Rich.,,Graminoid
CYPOP2,CYPOP3,Cyperus polystachyos Rottb. var. paniculatus (Rottb.) C.B. Clarke,,Graminoid
CYPOP2,PYPO,Pycreus polystachyos (Rottb.) P. Beauv.,,Graminoid
CYPOT,,Cyperus polystachyos Rottb. var. texensis (Torr.) Fernald,Texan flatsedge,Graminoid
CYPOT,PYPOH,Pycreus polystachyos (Rottb.) P. Beauv. ssp. holosericeus (Link) T. Koyama,,Graminoid
CYPOT,CYPOL,Cyperus polystachyos Rottb. var. laxiflorus Benth.,,Graminoid
CYPOT,CYHO9,Cyperus holosericeus Link,,Graminoid
CYPOT,CYMI5,Cyperus microdontus Torr.,,Graminoid
CYPR17,,Cyperus prolifer Lam.,miniature flatsedge,Graminoid
CYPR2,,Cyperus prolixus Kunth,mosquito flatsedge,Graminoid
CYPS3,,Cyperus pseudothyrsiflorus (Kük.) R. Carter & S.D. Jones,flatsedge,Graminoid
CYPS3,CYUNP,Cyperus uniflorus Torr. & Hook. var. pseudothyrsiflorus Kük.,,Graminoid
CYPS,,Cyperus pseudovegetus Steud.,marsh flatsedge,Graminoid
CYPS,CYVIA,Cyperus virens Michx. var. arenicola (Boeckeler) Shinners,,Graminoid
CYPU15,,Cyperus pulguerensis M.T. Strong,El Pulguero flatsedge,Graminoid
CYPU3,,Cyperus pumilus L.,low flatsedge,Graminoid
CYRE2,,Cyperus reflexus Vahl,bentawn flatsedge,Graminoid
CYRE2,CYREF,Cyperus reflexus Vahl var. fraternus (Kunth) Kuntze,,Graminoid
CYRE3,,Cyperus refractus Engelm. ex Boeckeler,reflexed flatsedge,Graminoid
CYRE14,,Cyperus retroflexus Buckley,oneflower flatsedge,Graminoid
CYRE14,CYUN2,"Cyperus uniflorus Torr. & Hook., non Thunb.",,Graminoid
CYRE4,CYDI11,Cyperus dipsaciformis Fernald,,Graminoid
CYRE4,,Cyperus retrofractus (L.) Torr.,rough flatsedge,Graminoid
CYRE4,CYRED,Cyperus retrofractus (L.) Torr. var. dipsaciformis (Fernald) Kük.,,Graminoid
CYRE4,SCRE4,Scirpus retrofractus L.,,Graminoid
CYRE5,,Cyperus retrorsus Chapm.,pine barren flatsedge,Graminoid
CYRER2,CYLI10,Cyperus litoreus (C.B. Clarke) Britton,,Graminoid
CYRER2,,Cyperus retrorsus Chapm. var. retrorsus,pine barren flatsedge,Graminoid
CYRER2,CYDE14,Cyperus deeringianus Britton ex Small,,Graminoid
CYRER2,CYWI5,Cyperus winkleri Britton ex Small,,Graminoid
CYRER2,CYOVC,Cyperus ovularis (Michx.) Torr. var. cylindricus (Elliott) Torr.,,Graminoid
CYRER2,CYBL2,Cyperus blodgettii Britton,,Graminoid
CYRER2,CYREC,Cyperus retrorsus Chapm. var. cylindricus (Elliott) Fernald & Grisc.,,Graminoid
CYRER2,CYCY4,Cyperus cylindricus (Elliott) Britton,,Graminoid
